H_over_B,B_over_H,H,B,q,R_int,gamma,Su,sf_lower,sf_upper,fs_optum_avg,fs_terzaghi_resistance,fs_terzaghi_net_pressure,Nc,fs_bjerrum
0.6,1.6666666666666667,6.0,10.0,0.0,1.0,18.0,5.0,0.278,0.31,0.29400000000000004,0.3031725989548082,0.2746793113157221,5.7052,0.2641296296296296
0.6,1.6666666666666667,6.0,10.0,0.0,1.0,18.0,10.0,0.556,0.62,0.5880000000000001,0.6063451979096164,0.5727795926787093,5.7052,0.5282592592592592
0.6,1.6666666666666667,6.0,10.0,0.0,1.0,18.0,20.0,1.112,1.24,1.1760000000000002,1.2126903958192328,1.2523421372473975,5.7052,1.0565185185185184
0.6,1.6666666666666667,6.0,10.0,0.0,1.0,18.0,40.0,2.224,2.481,2.3525,2.4253807916384655,3.0786317173996935,5.7052,2.113037037037037
0.6,1.6666666666666667,6.0,10.0,0.0,1.0,20.0,5.0,0.248,0.279,0.2635,0.27285533905932735,0.24620464883763732,5.7052,0.23771666666666663
0.6,1.6666666666666667,6.0,10.0,0.0,1.0,20.0,10.0,0.501,0.555,0.528,0.5457106781186547,0.5111432885491065,5.7052,0.47543333333333326
0.6,1.6666666666666667,6.0,10.0,0.0,1.0,20.0,20.0,1.002,1.111,1.0565,1.0914213562373094,1.1064798861484122,5.7052,0.9508666666666665
0.6,1.6666666666666667,6.0,10.0,0.0,1.0,20.0,40.0,1.986,2.233,2.1095,2.182842712474619,2.6493490801106265,5.7052,1.901733333333333
0.6,1.6666666666666667,6.0,10.0,10.0,1.0,16.0,5.0,0.283,0.316,0.2995,0.30889283667093664,0.28007802278328575,5.7052,0.2691132075471698
0.6,1.6666666666666667,6.0,10.0,10.0,1.0,16.0,10.0,0.565,0.631,0.598,0.6177856733418733,0.584527144243246,5.7052,0.5382264150943395
0.6,1.6666666666666667,6.0,10.0,10.0,1.0,16.0,20.0,1.13,1.263,1.1965,1.2355713466837466,1.2804753519662397,5.7052,1.076452830188679
0.6,1.6666666666666667,6.0,10.0,10.0,1.0,16.0,40.0,2.26,2.526,2.393,2.471142693367493,3.1640793944174512,5.7052,2.152905660377358
0.6,1.6666666666666667,6.0,10.0,10.0,1.0,18.0,5.0,0.254,0.284,0.269,0.2774800058230448,0.2505332417361498,5.7052,0.24174576271186438
